"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","label","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre01.g052400","Cre01.g052400","7.0","1","0","false","0","Cre01.g052400","0"
"2.764705882352941","0.0","0.3617021276595745","0.16666666666666666","5","4","0","false","Cre01.g052550","Cre01.g052550","23.5","4","0","false","0","Cre01.g052550","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre01.g008500","Cre01.g008500","4.0","1","0","false","0","Cre01.g008500","0"
"2.0","0.0","0.5","0.0","3","1","0","false","Cre01.g026300","Cre01.g026300","4.0","1","0","false","0","Cre01.g026300","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre06.g300300","Cre06.g300300","3.0","1","0","false","0","Cre06.g300300","0"
"1.0","0.0","1.0","0.0","1","1","0","false","g8569","g8569","2.0","1","0","false","0","g8569","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre01.g028850","Cre01.g028850","2.0","1","0","false","0","Cre01.g028850","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre06.g253050","Cre06.g253050","4.5","0","0","false","0","Cre06.g253050","0"
"0.0","0.0","0.0","0.5","0","2","2","false","g1308","g1308","27.0","0","0","false","0","g1308","0"
"4.51912568306011","0.0","0.22128174123337363","0.0","9","2","0","false","g16708,g16709","g16708,g16709","8.0","2","0","false","0","g16708,g16709","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre10.g466600,g11436","Cre10.g466600,g11436","8.0","0","0","false","0","Cre10.g466600,g11436","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre16.g671700","Cre16.g671700","5.0","0","0","false","0","Cre16.g671700","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre14.g620150","Cre14.g620150","41.0","0","0","false","0","Cre14.g620150","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre06.g267400","Cre06.g267400","2.0","0","0","false","0","Cre06.g267400","0"
"1.0","0.0","1.0","0.0","1","1","0","false","g9810","g9810","4.0","1","0","false","0","g9810","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre13.g576500","Cre13.g576500","5.5","0","0","false","0","Cre13.g576500","0"
"1.9","0.0","0.5263157894736842","0.0","3","3","0","false","Cre09.g390000","Cre09.g390000","7.333333333333333","3","0","false","0","Cre09.g390000","0"
"4.098214285714286","0.0","0.2440087145969499","0.0","8","1","0","false","Cre09.g403650","Cre09.g403650","63.0","1","0","false","0","Cre09.g403650","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","Cre03.g178200","Cre03.g178200","14.0","0","0","false","0","Cre03.g178200","0"
"2.0","0.0","0.5","0.0","3","1","0","false","g8363","g8363","14.0","1","0","false","0","g8363","0"
"2.8333333333333335","0.0","0.3529411764705882","0.0","4","1","0","false","Cre08.g385700","Cre08.g385700","8.0","1","0","false","0","Cre08.g385700","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre09.g403050","Cre09.g403050","2.0","0","0","false","0","Cre09.g403050","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre02.g145451","Cre02.g145451","6.0","0","0","false","0","Cre02.g145451","0"
"1.6666666666666667","0.0","0.6","0.0","2","1","0","false","Cre07.g345500","Cre07.g345500","5.0","1","0","false","0","Cre07.g345500","0"
"1.0","0.0","1.0","0.0","1","1","0","false","g8218","g8218","2.0","1","0","false","0","g8218","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g18037","g18037","4.5","0","0","false","0","g18037","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g15040","g15040","3.0","0","0","false","0","g15040","0"
"0.0","0.0","0.0","0.0","0","3","3","false","Cre02.g073300,Cre02.g073350,Cre02.g073400","Cre02.g073300,Cre02.g073350,Cre02.g073400","7.0","0","0","false","0","Cre02.g073300,Cre02.g073350,Cre02.g073400","0"
"4.5","0.0","0.2222222222222222","0.0","9","1","0","false","Cre07.g317850","Cre07.g317850","12.0","1","0","false","0","Cre07.g317850","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre13.g585950","Cre13.g585950","25.0","0","0","false","0","Cre13.g585950","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g12963","g12963","4.5","0","0","false","0","g12963","0"
"3.858490566037736","0.0","0.2591687041564792","0.0","7","2","0","false","Cre07.g329950","Cre07.g329950","24.0","2","0","false","0","Cre07.g329950","0"
"4.631578947368421","0.0","0.2159090909090909","0.0","8","1","0","false","Cre01.g028900","Cre01.g028900","14.0","1","0","false","0","Cre01.g028900","0"
"1.3333333333333333","0.0","0.75","0.5","2","2","0","false","g8711","g8711","9.0","2","0","false","0","g8711","0"
"6.027522935779817","0.0","0.1659056316590563","0.0","13","1","0","false","Cre10.g449150","Cre10.g449150","15.0","1","0","false","0","Cre10.g449150","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre10.g438300","Cre10.g438300","15.0","0","0","false","0","Cre10.g438300","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre04.g213750,g4703","Cre04.g213750,g4703","17.0","0","0","false","0","Cre04.g213750,g4703","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g8390","g8390","149.0","0","0","false","0","g8390","0"
"2.2","0.0","0.45454545454545453","0.0","3","1","0","false","g12973","g12973","7.0","1","0","false","0","g12973","0"
"3.6484375","0.01799270086812208","0.2740899357601713","0.20909090909090908","7","11","1","false","g18036","g18036","32.72727272727273","10","0","false","0","g18036","15895533"
"0.0","0.0","0.0","0.2619047619047619","0","7","7","false","g9990","g9990","30.857142857142858","0","0","false","0","g9990","0"
"2.0","0.0","0.5","0.5","3","2","1","false","Cre06.g258650","Cre06.g258650","27.0","1","0","false","0","Cre06.g258650","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre03.g168786","Cre03.g168786","61.0","0","0","false","0","Cre03.g168786","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre17.g735850","Cre17.g735850","6.0","0","0","false","0","Cre17.g735850","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g5030","g5030","60.0","0","0","false","0","g5030","0"
"1.75","0.0","0.5714285714285714","0.3333333333333333","3","3","1","false","g12376","g12376","4.333333333333333","2","0","false","0","g12376","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","Cre07.g337000","Cre07.g337000","4.0","0","0","false","0","Cre07.g337000","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre06.g292950,PRI2","Cre06.g292950,PRI2","6.0","0","0","false","0","Cre06.g292950,PRI2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre07.g340000","Cre07.g340000","31.0","0","0","false","0","Cre07.g340000","0"
"1.3333333333333333","0.0","0.75","0.3333333333333333","2","3","1","false","g9832","g9832","11.0","2","0","false","0","g9832","0"
"2.1","0.0909204464249403","0.47619047619047616","0.16666666666666666","4","4","1","false","Cre07.g316000","Cre07.g316000","34.75","3","0","false","0","Cre07.g316000","107205283"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre01.g055550","Cre01.g055550","2.0","0","0","false","0","Cre01.g055550","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre17.g726700,g17571","Cre17.g726700,g17571","8.0","1","0","false","0","Cre17.g726700,g17571","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre02.g076900","Cre02.g076900","3.0","1","0","false","0","Cre02.g076900","0"
"2.857142857142857","0.0","0.35","0.0","4","2","0","false","Cre02.g116050","Cre02.g116050","30.5","2","0","false","0","Cre02.g116050","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre10.g431500","Cre10.g431500","5.0","0","0","false","0","Cre10.g431500","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","g5052","g5052","7.0","1","0","false","0","g5052","0"
"1.5","8.715820876437059E-4","0.6666666666666666","0.1","2","5","3","false","g10273","g10273","5.8","2","0","false","0","g10273","83748"
"0.0","0.0","0.0","0.13333333333333333","0","6","6","false","g18256","g18256","15.666666666666666","0","0","false","0","g18256","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre03.g193550","Cre03.g193550","2.5","0","0","false","0","Cre03.g193550","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre06.g259750","Cre06.g259750","2.0","1","0","false","0","Cre06.g259750","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre02.g085300","Cre02.g085300","2.0","1","0","false","0","Cre02.g085300","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre03.g159750","Cre03.g159750","2.0","1","0","false","0","Cre03.g159750","0"
"1.0","0.01850254827419404","1.0","0.0","1","4","3","false","Cre06.g282150","Cre06.g282150","7.5","1","0","false","0","Cre06.g282150","15622523"
"0.0","0.0","0.0","0.0","0","1","1","false","ALK5,g9827","ALK5,g9827","3.0","0","0","false","0","ALK5,g9827","0"
"1.6666666666666667","0.0","0.6","0.0","2","1","0","false","Cre01.g043750","Cre01.g043750","16.0","1","0","false","0","Cre01.g043750","0"
"1.6","0.0","0.625","0.0","2","2","0","false","Cre14.g618500","Cre14.g618500","6.0","2","0","false","0","Cre14.g618500","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g13913","g13913","2.0","0","0","false","0","g13913","0"
"1.3333333333333333","0.0","0.75","0.0","2","2","0","false","Cre05.g245450","Cre05.g245450","12.5","2","0","false","0","Cre05.g245450","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre03.g173700","Cre03.g173700","13.0","0","0","false","0","Cre03.g173700","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre17.g704100","Cre17.g704100","2.0","1","0","false","0","Cre17.g704100","0"
"1.5","0.0","0.6666666666666666","0.5","2","2","1","false","Cre13.g587650","Cre13.g587650","17.0","1","0","false","0","Cre13.g587650","0"
