AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,label,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
0,0,0,0,0,2,2,FALSE,Cre06.g260000,Cre06.g260000,2.5,0,0,FALSE,0,Cre06.g260000,0
0,0,0,0,0,1,1,FALSE,Cre13.g587250,Cre13.g587250,3,0,0,FALSE,0,Cre13.g587250,0
0,0,0,0,0,1,1,FALSE,g9198,g9198,3,0,0,FALSE,0,g9198,0
4.683333333,0,0.213523132,0,8,1,0,FALSE,"Cre02.g087300,Cre02.g087324","Cre02.g087300,Cre02.g087324",4,1,0,FALSE,0,"Cre02.g087300,Cre02.g087324",0
4.618421053,0,0.216524217,0.333333333,9,3,0,FALSE,Cre02.g117150,Cre02.g117150,74.33333333,3,0,FALSE,0,Cre02.g117150,0
0,0,0,0,0,1,1,FALSE,Cre07.g342600,Cre07.g342600,20,0,0,FALSE,0,Cre07.g342600,0
0,0,0,0,0,1,1,FALSE,"Cre07.g329861,Cre07.g329882","Cre07.g329861,Cre07.g329882",6,0,0,FALSE,0,"Cre07.g329861,Cre07.g329882",0
1.75,0,0.571428571,0,3,2,0,FALSE,Cre16.g684750,Cre16.g684750,2.5,2,0,FALSE,0,Cre16.g684750,0
0,0,0,0.166666667,0,3,3,FALSE,Cre02.g081450,Cre02.g081450,15,0,0,FALSE,0,Cre02.g081450,0
1.5,0,0.666666667,0,2,1,0,FALSE,Cre16.g661450,Cre16.g661450,15,1,0,FALSE,0,Cre16.g661450,0
0,0,0,0,0,2,2,FALSE,"Cre02.g091750,g1719","Cre02.g091750,g1719",14.5,0,0,FALSE,0,"Cre02.g091750,g1719",0
0,0,0,0,0,2,2,FALSE,g2756,g2756,6,0,0,FALSE,0,g2756,0
0,0,0,0,0,1,1,FALSE,Cre02.g100600,Cre02.g100600,2,0,0,FALSE,0,Cre02.g100600,0
1.333333333,0,0.75,0,2,2,0,FALSE,g16741,g16741,2,2,0,FALSE,0,g16741,0
0,0,0,0,0,1,1,FALSE,Cre02.g073850,Cre02.g073850,2,0,0,FALSE,0,Cre02.g073850,0
3.434782609,0.008445991,0.291139241,0.266666667,6,6,1,FALSE,Cre06.g252600,Cre06.g252600,32.5,5,0,FALSE,0,Cre06.g252600,7245413
0,0,0,0,0,3,3,FALSE,Cre03.g195400,Cre03.g195400,9.333333333,0,0,FALSE,0,Cre03.g195400,0
1.5,0,0.666666667,0,2,1,0,FALSE,Cre12.g540750,Cre12.g540750,3,1,0,FALSE,0,Cre12.g540750,0
1,0.07364508,1,0,1,3,2,FALSE,Cre01.g043400,Cre01.g043400,11.33333333,1,0,FALSE,0,Cre01.g043400,63444239
1,0.003354149,1,0,1,3,2,FALSE,g16862,g16862,3.333333333,1,0,FALSE,0,g16862,685422
1.333333333,0,0.75,0.5,2,2,0,FALSE,Cre14.g619850,Cre14.g619850,22.5,2,0,FALSE,0,Cre14.g619850,0
0,0,0,0,0,1,1,FALSE,g16937,g16937,6,0,0,FALSE,0,g16937,0
0,0,0,0,0,1,1,FALSE,Cre03.g149550,Cre03.g149550,9,0,0,FALSE,0,Cre03.g149550,0
0,0,0,0,0,1,1,FALSE,Cre01.g055050,Cre01.g055050,5,0,0,FALSE,0,Cre01.g055050,0
1,0.092171125,1,0,1,2,1,FALSE,g13107,g13107,13,1,0,FALSE,0,g13107,134030884
0,0,0,0,0,1,1,FALSE,"FAS1,FAS2","FAS1,FAS2",11,0,0,FALSE,0,"FAS1,FAS2",0
0,0,0,0.5,0,2,2,FALSE,Cre17.g727050,Cre17.g727050,8.5,0,0,FALSE,0,Cre17.g727050,0
0,0,0,0,0,1,1,FALSE,Cre01.g015950,Cre01.g015950,2,0,0,FALSE,0,Cre01.g015950,0
0,0,0,0,0,2,2,FALSE,Cre06.g297550,Cre06.g297550,7,0,0,FALSE,0,Cre06.g297550,0
0,0,0,0,0,1,1,FALSE,Cre10.g427050,Cre10.g427050,10,0,0,FALSE,0,Cre10.g427050,0
0,0,0,0,0,1,1,FALSE,Cre10.g455400,Cre10.g455400,10,0,0,FALSE,0,Cre10.g455400,0
1,0,1,0.5,1,3,2,FALSE,g6716,g6716,60.66666667,1,0,FALSE,0,g6716,0
0,0,0,0,0,1,1,FALSE,Cre06.g270650,Cre06.g270650,3,0,0,FALSE,0,Cre06.g270650,0
3.615384615,0,0.276595745,0,6,2,0,FALSE,Cre06.g284450,Cre06.g284450,9.5,2,0,FALSE,0,Cre06.g284450,0
0,0,0,0,0,1,1,FALSE,"PEN2,TDP1","PEN2,TDP1",2,0,0,FALSE,0,"PEN2,TDP1",0
0,0,0,0.366666667,0,6,6,FALSE,Cre03.g203450,Cre03.g203450,19.66666667,0,0,FALSE,0,Cre03.g203450,0
0,0,0,0,0,1,1,FALSE,g10334,g10334,13,0,0,FALSE,0,g10334,0
2.5,0,0.4,0,4,1,0,FALSE,Cre06.g248750,Cre06.g248750,5,1,0,FALSE,0,Cre06.g248750,0
1,0,1,0,1,1,0,FALSE,g5636,g5636,2,1,0,FALSE,0,g5636,0
1.4,0.043124854,0.714285714,0.083333333,2,4,1,FALSE,Cre12.g559450,Cre12.g559450,8.5,3,0,FALSE,0,Cre12.g559450,34818837
5.472222222,0,0.182741117,0,8,1,0,FALSE,Cre06.g255350,Cre06.g255350,7,1,0,FALSE,0,Cre06.g255350,0
0,0,0,0,0,1,1,FALSE,g9921,g9921,9,0,0,FALSE,0,g9921,0
1,0,1,0,1,1,0,FALSE,Cre06.g270600,Cre06.g270600,6,1,0,FALSE,0,Cre06.g270600,0
0,0,0,0,0,1,1,FALSE,"Cre12.g496850,Cre12.g496900","Cre12.g496850,Cre12.g496900",2,0,0,FALSE,0,"Cre12.g496850,Cre12.g496900",0
0,0,0,0.5,0,3,3,FALSE,g9123,g9123,19.33333333,0,0,FALSE,0,g9123,0
3.060606061,0.196351978,0.326732673,0.323809524,6,15,11,FALSE,Cre09.g388200,Cre09.g388200,39.8,4,0,FALSE,0,Cre09.g388200,637506786
1,0,1,0,1,1,0,FALSE,g5343,g5343,4,1,0,FALSE,0,g5343,0
0,0,0,0,0,2,2,FALSE,Cre16.g685600,Cre16.g685600,31,0,0,FALSE,0,Cre16.g685600,0
2.5,3.24E-04,0.4,0.2,4,5,4,FALSE,Cre01.g049650,Cre01.g049650,20.8,1,0,FALSE,0,Cre01.g049650,60647
6.605405405,0,0.151391162,0.5,12,2,0,FALSE,Cre05.g242650,Cre05.g242650,12,2,0,FALSE,0,Cre05.g242650,0
0,0,0,0,0,1,1,FALSE,Cre17.g717800,Cre17.g717800,6,0,0,FALSE,0,Cre17.g717800,0
1.5,0,0.666666667,0,2,1,0,FALSE,"Cre04.g217250,g4522","Cre04.g217250,g4522",6,1,0,FALSE,0,"Cre04.g217250,g4522",0
0,0,0,0,0,2,2,FALSE,g10019,g10019,5,0,0,FALSE,0,g10019,0
5,0,0.2,0,10,1,0,FALSE,"Cre04.g216350,Cre04.g216351","Cre04.g216350,Cre04.g216351",36,1,0,FALSE,0,"Cre04.g216350,Cre04.g216351",0
1.6,0.236351079,0.625,0.166666667,3,4,1,FALSE,Cre11.g478456,Cre11.g478456,13.5,3,0,FALSE,0,Cre11.g478456,309185835
0,0,0,0,0,1,1,FALSE,Cre13.g604200,Cre13.g604200,8,0,0,FALSE,0,Cre13.g604200,0
1,0.001673615,1,0,1,3,1,FALSE,Cre01.g053200,Cre01.g053200,6.666666667,2,0,FALSE,0,Cre01.g053200,134134
0,0,0,0,0,1,1,FALSE,Cre07.g331550,Cre07.g331550,5,0,0,FALSE,0,Cre07.g331550,0
0,0,0,0,0,1,1,FALSE,g4381,g4381,3,0,0,FALSE,0,g4381,0
0,0,0,0,0,1,1,FALSE,Cre09.g387850,Cre09.g387850,13,0,0,FALSE,0,Cre09.g387850,0
1,0,1,0,1,1,0,FALSE,g42,g42,3,1,0,FALSE,0,g42,0
1,0,1,0,1,1,0,FALSE,Cre01.g052400,Cre01.g052400,7,1,0,FALSE,0,Cre01.g052400,0
2.764705882,0,0.361702128,0.166666667,5,4,0,FALSE,Cre01.g052550,Cre01.g052550,23.5,4,0,FALSE,0,Cre01.g052550,0
1,0,1,0,1,1,0,FALSE,Cre01.g008500,Cre01.g008500,4,1,0,FALSE,0,Cre01.g008500,0
2,0,0.5,0,3,1,0,FALSE,Cre01.g026300,Cre01.g026300,4,1,0,FALSE,0,Cre01.g026300,0
1,0,1,0,1,1,0,FALSE,Cre06.g300300,Cre06.g300300,3,1,0,FALSE,0,Cre06.g300300,0
1,0,1,0,1,1,0,FALSE,g8569,g8569,2,1,0,FALSE,0,g8569,0
1,0,1,0,1,1,0,FALSE,Cre01.g028850,Cre01.g028850,2,1,0,FALSE,0,Cre01.g028850,0
0,0,0,0,0,2,2,FALSE,Cre06.g253050,Cre06.g253050,4.5,0,0,FALSE,0,Cre06.g253050,0
0,0,0,0.5,0,2,2,FALSE,g1308,g1308,27,0,0,FALSE,0,g1308,0
4.519125683,0,0.221281741,0,9,2,0,FALSE,"g16708,g16709","g16708,g16709",8,2,0,FALSE,0,"g16708,g16709",0
0,0,0,0,0,1,1,FALSE,"Cre10.g466600,g11436","Cre10.g466600,g11436",8,0,0,FALSE,0,"Cre10.g466600,g11436",0
0,0,0,0,0,2,2,FALSE,Cre16.g671700,Cre16.g671700,5,0,0,FALSE,0,Cre16.g671700,0
0,0,0,0,0,1,1,FALSE,Cre14.g620150,Cre14.g620150,41,0,0,FALSE,0,Cre14.g620150,0
0,0,0,0,0,1,1,FALSE,Cre06.g267400,Cre06.g267400,2,0,0,FALSE,0,Cre06.g267400,0
1,0,1,0,1,1,0,FALSE,g9810,g9810,4,1,0,FALSE,0,g9810,0
0,0,0,0,0,2,2,FALSE,Cre13.g576500,Cre13.g576500,5.5,0,0,FALSE,0,Cre13.g576500,0
1.9,0,0.526315789,0,3,3,0,FALSE,Cre09.g390000,Cre09.g390000,7.333333333,3,0,FALSE,0,Cre09.g390000,0
4.098214286,0,0.244008715,0,8,1,0,FALSE,Cre09.g403650,Cre09.g403650,63,1,0,FALSE,0,Cre09.g403650,0
0,0,0,0.333333333,0,3,3,FALSE,Cre03.g178200,Cre03.g178200,14,0,0,FALSE,0,Cre03.g178200,0
2,0,0.5,0,3,1,0,FALSE,g8363,g8363,14,1,0,FALSE,0,g8363,0
2.833333333,0,0.352941176,0,4,1,0,FALSE,Cre08.g385700,Cre08.g385700,8,1,0,FALSE,0,Cre08.g385700,0
0,0,0,0,0,1,1,FALSE,Cre09.g403050,Cre09.g403050,2,0,0,FALSE,0,Cre09.g403050,0
0,0,0,0,0,1,1,FALSE,Cre02.g145451,Cre02.g145451,6,0,0,FALSE,0,Cre02.g145451,0
1.666666667,0,0.6,0,2,1,0,FALSE,Cre07.g345500,Cre07.g345500,5,1,0,FALSE,0,Cre07.g345500,0
1,0,1,0,1,1,0,FALSE,g8218,g8218,2,1,0,FALSE,0,g8218,0
0,0,0,0,0,2,2,FALSE,g18037,g18037,4.5,0,0,FALSE,0,g18037,0
